Service Area,Designation,Total Score,Travel Time to Nearest PCPCH,Primary Care  Capacity Ratio,"Dentists per 1,000","Mental Health Providers per 1,000",138-200% of Federal Poverty Level,Inadequate Prenatal Care Rate,"Preventable Hospitalizations per 1,000","Emergency Dept Dental Visits per 1,000","Emergency Dept Mental Health Visits per 1,000",2025 Population,County,Hospital,RHC,FQHC
East Klamath,Rural,23,32,0.00,0.00,0.00,16%,170.1,11.3,7.7,14.5,3364,KLAMATH,,,
Warm Springs,Rural,26,18,1.11,0.71,0.59,17%,316.1,22.3,18.2,90.9,2513,JEFFERSON,,,
Port Orford,Rural,29,31,0.64,0.00,0.05,16%,76.9,9.3,10.4,15.9,2446,CURRY,,1,2
Powers,Rural,29,30,0.00,0.00,0.00,16%,25.0,11.8,7.4,13.6,906,COOS,,,
Drain/Yoncalla,Rural,30,26,0.16,0.00,0.18,11%,71.1,8.1,9.4,12.3,4966,DOUGLAS,,,1
Gold Beach,Rural,30,33,0.97,0.00,0.17,12%,149.2,12.7,9.3,21.2,5786,CURRY,1,1,
Swisshome/Triangle Lake,Rural,30,27,0.00,0.00,0.00,16%,42.6,5.4,8.3,13.7,1286,LANE,,,
Chiloquin,Rural,32,30,0.27,0.53,0.07,16%,163.0,9.3,7.6,16.1,4673,KLAMATH,,,2
Yachats,Rural,33,12,0.00,0.05,0.00,13%,83.3,9.0,7.0,11.0,2149,LINCOLN,,,
Cave Junction,Rural,35,10,0.37,0.00,0.19,18%,95.7,10.7,3.9,15.3,9861,JOSEPHINE,,,1
Lowell/Dexter,Rural,35,24,0.12,0.00,0.30,17%,46.9,6.6,5.4,10.4,5168,LANE,,,
Merrill,Rural,35,25,0.32,0.00,0.00,11%,71.9,7.6,3.2,12.4,2362,KLAMATH,,,
Arlington,Remote,37,25,0.64,0.00,0.00,11%,90.9,5.4,7.7,10.4,996,GILLIAM,,,
Cascade Locks,Rural,37,21,0.00,0.00,0.00,10%,36.6,8.6,3.1,12.7,1624,HOOD RIVER,,,
Glendale,Rural,37,10,0.00,0.00,0.00,11%,90.5,9.9,5.8,10.5,4268,DOUGLAS,,,
Halfway,Remote,37,68,0.42,0.00,0.30,18%,30.3,6.9,3.0,4.9,1786,BAKER,,1,
North Lake,Remote,37,67,0.27,0.00,0.94,8%,213.5,14.5,1.1,12.3,2116,LAKE,,,
Irrigon,Remote,38,10,0.35,0.00,0.17,16%,128.5,9.3,4.2,11.9,4216,MORROW,,1,
Oakridge,Rural,38,10,0.34,0.00,0.46,15%,83.8,11.7,5.0,16.7,4440,LANE,,1,
Shady Cove,Rural,38,10,0.03,0.40,0.00,17%,77.9,12.1,4.0,16.4,5829,JACKSON,,,1
Sweet Home,Rural,38,10,0.32,0.07,0.21,14%,61.1,8.9,4.9,16.5,15720,LINN,,1,1
Clatskanie,Rural,40,10,0.10,0.28,0.15,14%,75.8,14.5,3.3,13.5,13089,COLUMBIA,,,3
Cottage Grove,Rural,40,26,0.44,0.35,0.50,12%,80.3,9.0,8.9,21.3,19425,LANE,1,,1
Mill City/Gates,Rural,40,10,0.32,0.22,0.00,14%,59.5,8.5,6.2,15.2,3844,MARION,,1,
Sutherlin,Rural,40,10,0.35,0.06,0.10,17%,44.5,6.1,3.9,15.1,15149,DOUGLAS,,1,1
Moro/Grass Valley,Remote,41,41,0.58,0.00,0.00,15%,47.6,4.0,3.7,4.3,997,SHERMAN,,1,
Reedsport,Rural,41,10,0.72,0.18,0.18,10%,145.2,14.3,10.1,20.6,8408,DOUGLAS,1,1,
Heppner,Remote,42,10,0.39,0.05,0.64,19%,82.1,10.1,4.4,11.7,3060,MORROW,1,2,
Jordan Valley,Remote,42,75,0.00,0.00,0.00,9%,87.0,0.6,0.0,0.6,540,MALHEUR,,,
Myrtle Creek,Rural,42,10,0.20,0.11,0.16,10%,63.1,6.8,5.9,15.2,13167,DOUGLAS,,1,1
Rogue River,Rural,42,10,0.23,0.16,0.28,14%,71.4,9.3,3.6,16.3,12348,JACKSON,,,
Alsea,Rural,43,24,0.52,0.00,0.00,8%,71.4,5.1,2.4,9.3,1111,BENTON,,,1
Coquille/Myrtle Point,Rural,43,10,0.94,0.17,0.16,15%,67.3,11.9,6.4,14.3,11624,COOS,1,,
Toledo,Rural,43,10,0.36,0.18,0.30,12%,46.2,8.9,8.9,15.9,5567,LINCOLN,,1,1
Union,Rural,43,10,0.05,0.10,0.00,12%,44.3,5.1,3.8,9.2,5027,UNION,,1,
Elgin,Rural,44,10,0.87,0.00,0.00,10%,89.1,11.2,3.7,10.5,2672,UNION,,1,
Glide,Rural,44,10,0.00,0.13,0.00,7%,58.3,6.0,4.9,14.1,2784,DOUGLAS,,,1
La Pine,Rural,44,10,0.49,0.18,0.27,14%,101.0,10.4,3.1,14.2,15742,DESCHUTES,,,3
Maupin,Rural,44,10,0.29,0.00,0.17,16%,40.0,9.5,2.2,7.9,3012,WASCO,,,
Scio,Rural,44,11,0.05,0.02,0.00,10%,33.3,7.3,2.8,9.2,5570,LINN,,,
Veneta,Rural,44,10,0.05,0.17,0.12,12%,44.4,7.7,2.9,12.7,12569,LANE,,1,
Winston,Rural,44,10,0.13,0.11,0.46,11%,61.6,7.6,5.9,16.0,9780,DOUGLAS,,,1
Blodgett-Eddyville,Rural,45,13,0.00,0.00,0.00,8%,0.0,9.4,2.0,9.2,1343,LINCOLN,,,
Burns,Remote,45,10,0.85,0.23,0.28,20%,41.5,11.3,6.1,12.9,7490,HARNEY,1,2,
Brookings,Rural,46,10,0.74,0.44,0.48,16%,80.4,8.1,10.9,19.3,14888,CURRY,,1,
Cloverdale,Rural,46,10,0.15,0.12,0.25,7%,67.1,7.9,3.7,13.0,4838,TILLAMOOK,,1,
Condon,Remote,46,22,1.04,0.11,0.00,12%,76.9,6.4,2.2,5.1,1039,GILLIAM,,1,
Harrisburg,Rural,46,10,0.00,0.08,0.49,17%,46.9,5.3,2.1,11.0,5203,LINN,,,
John Day,Remote,46,10,0.93,0.26,0.11,12%,90.6,8.0,7.4,13.7,7183,GRANT,1,2,
Lincoln City,Rural,46,10,0.68,0.20,0.55,14%,79.4,9.5,8.1,21.2,19115,LINCOLN,1,4,2
Milton-Freewater,Rural,46,16,0.02,0.27,0.06,10%,88.1,9.3,0.3,2.1,12694,UMATILLA,,,
Prineville,Rural,46,10,0.45,0.21,0.48,11%,76.4,9.1,8.1,16.8,23948,CROOK,1,1,1
Waldport,Rural,46,10,0.32,0.10,0.46,8%,89.4,8.5,6.4,15.6,7967,LINCOLN,,1,2
Wemme,Rural,46,18,0.00,0.24,0.18,5%,51.3,6.8,2.8,12.3,4734,CLACKAMAS,,,
Fossil,Remote,47,10,0.35,0.70,0.00,18%,60.0,9.8,4.7,5.8,1501,WHEELER,,,3
Hermiston,Rural,47,10,0.96,0.28,0.28,16%,121.9,6.9,4.2,13.3,41403,UMATILLA,1,3,1
