County,Total Population,% POC,% Poverty,% No Vehicle,% Over 65,Area (sq miles)
Baker,16685,10.91,13.72,4.8,27.15,3067.97
Benton,95615,21.54,19.06,7.72,16.9,675.21
Clackamas,420925,21.05,7.58,4.88,18.94,1870.71
Clatsop,41190,17.8,10.24,8.65,23.56,828.1
Columbia,52865,14.24,9.12,4.36,19.37,658.68
Coos,64908,16.57,16.09,6.46,26.79,1596.04
Crook,24987,13.33,7.92,3.68,24.69,2978.93
Curry,23404,15.94,12.43,4.4,34.43,1628.38
Deschutes,199352,14.68,9.13,4.22,20.48,3017.61
Douglas,111322,14.45,14.87,5.1,25.96,5035.67
Gilliam,1983,16.24,12.86,7.19,31.22,1204.72
Grant,7237,11.61,16.49,3.47,30.99,4527.79
Harney,7496,14.87,12.13,6.38,25.51,10134.43
Hood River,23965,37.46,6.57,5.41,17.07,522.19
Jackson,222604,21.72,13.26,5.39,22.49,2783.25
Jefferson,24659,42.36,12.68,4.92,19.46,1781.7
Josephine,87994,15.41,16.11,4.74,26.52,1638.65
Klamath,69506,24.79,17.83,5.13,21.45,5949.98
Lake,8201,17.8,19.57,7.73,25.36,8138.61
Lane,382218,19.97,16.13,7.38,20.07,4554.09
Lincoln,50334,19.96,14.72,4.85,30.54,980.98
Linn,128598,17.27,11.95,4.41,18.98,2289.51
Malheur,31538,40.28,18.9,5.78,16.67,9887.71
Marion,345815,37.33,12.99,6.18,16.15,1180.84
Morrow,12140,43.08,16.7,1.52,16.07,2030.53
Multnomah,808098,32.58,12.2,12.53,14.13,431.02
Polk,87600,24.39,11.86,5.14,18.5,740.92
Sherman,1900,12.89,15.54,7.4,23.21,823.61
Tillamook,27345,17.48,12.5,4.86,26.75,1103.18
Umatilla,79904,36.81,11.7,5.47,16.05,3215.45
Union,26286,12.49,15.24,7.4,20.86,2036.94
Wallowa,7439,10.04,9.2,4.95,28.9,3145.9
Wasco,26639,27.85,11.69,6.55,20.65,2381.14
Washington,599541,37.33,8.16,5.64,14.0,724.27
Wheeler,1407,13.79,9.86,3.21,35.25,1716.02
Yamhill,107674,25.19,11.35,5.52,17.99,715.94
